iter	Logloss
0	0.6180165875
1	0.5603249333
2	0.5124327308
3	0.4767282208
4	0.4484815691
5	0.4261400607
6	0.4087261733
7	0.3946402506
8	0.38259691
9	0.3730406419
10	0.3655104582
11	0.3594526586
12	0.3544572621
13	0.3498746924
14	0.3462292387
15	0.3430676471
16	0.3406508014
17	0.3380578155
18	0.3360874478
19	0.334900155
20	0.3336438963
21	0.3321734505
22	0.3309533512
23	0.3300782974
24	0.3293795789
25	0.3285391055
26	0.3279630893
27	0.3273608638
28	0.3269429991
29	0.3263419495
30	0.3259535344
31	0.3254683172
32	0.3250566652
33	0.3246963735
34	0.3243923508
35	0.3240293824
36	0.3237805513
37	0.3234708713
38	0.3232434568
39	0.3230008064
40	0.322788227
41	0.3226494465
42	0.3225123607
43	0.3223557875
44	0.3222364488
45	0.3221078262
46	0.3219884518
47	0.3218442001
48	0.321755809
49	0.3216476712
50	0.3215150455
51	0.3213929593
52	0.3212619608
53	0.3211826708
54	0.321103008
55	0.3209871208
56	0.3208898302
57	0.3208036066
58	0.3206656409
59	0.3205679152
60	0.3204965986
61	0.3204256514
62	0.32034382
63	0.3202489886
64	0.32013707
65	0.3200392809
66	0.3199511042
67	0.3198971375
68	0.3198187274
69	0.3197283778
70	0.3196378067
71	0.3195802595
72	0.3195176839
73	0.3194823314
74	0.3193901318
75	0.3193376682
76	0.3192913394
77	0.3192338453
78	0.3191863582
79	0.3191184559
80	0.3190569359
81	0.3189948903
82	0.3189409413
83	0.3188988524
84	0.3188380572
85	0.3187888466
86	0.3187429653
87	0.3186920735
88	0.3186359928
89	0.3185845985
90	0.3185489268
91	0.3185211307
92	0.3184712638
93	0.3184236145
94	0.3183858947
95	0.318345391
96	0.3182736286
97	0.3182317538
98	0.3181952503
99	0.3181662937
100	0.3180957944
101	0.3180534408
102	0.3180077439
103	0.317958403
104	0.3179065661
105	0.3178567672
106	0.3178134808
107	0.3177849302
108	0.3177385213
109	0.3176881239
110	0.3176340353
111	0.3175927746
112	0.3175589413
113	0.3175178188
114	0.317481959
115	0.3174382848
116	0.3173775491
117	0.3173375934
118	0.3173006433
119	0.3172496164
120	0.3172163284
121	0.3171766843
122	0.3171310122
123	0.3170826634
124	0.3170523287
125	0.3170248578
126	0.3169871684
127	0.3169575487
128	0.3169198367
129	0.3168828836
130	0.3168366607
131	0.3167984328
132	0.316766966
133	0.3167440992
134	0.3167122631
135	0.3166686073
136	0.3166310582
137	0.3165767493
138	0.3165377025
139	0.3164920622
140	0.3164507388
141	0.3163944798
142	0.316364644
143	0.3163413465
144	0.3163084339
145	0.3162387966
146	0.3161894662
147	0.3161322059
148	0.3160873379
149	0.3160540185
150	0.3160130527
151	0.3159624555
152	0.315914051
153	0.3158800524
154	0.3158448519
155	0.3157948523
156	0.3157630522
157	0.3157141587
158	0.3156650828
159	0.3156260943
160	0.3155725432
161	0.3155222626
162	0.315478866
163	0.3154392931
164	0.3153905521
165	0.3153462617
166	0.315302726
167	0.3152583657
168	0.3152075558
169	0.3151757022
170	0.3151327834
171	0.3150902291
172	0.3150531628
173	0.3150133105
174	0.3149662343
175	0.3149222974
176	0.3148770173
177	0.3148486359
178	0.3147936823
179	0.3147445201
180	0.3147138435
181	0.3146674478
182	0.3146312708
183	0.3145799975
184	0.3145497427
185	0.3145104368
186	0.3144712015
187	0.3144334416
188	0.3143990903
189	0.314359944
190	0.3143185132
191	0.3142865569
192	0.3142439309
193	0.3142145157
194	0.314185734
195	0.3141530741
196	0.3141172058
197	0.3140742796
198	0.3140297132
199	0.3139901199
200	0.313947352
201	0.3139173014
202	0.3138871321
203	0.3138486798
204	0.3138117116
205	0.3137698074
206	0.3137327076
207	0.3136907865
208	0.3136615665
209	0.3136274045
210	0.3135853954
211	0.3135473722
212	0.3134963319
213	0.3134568666
214	0.3134268502
215	0.3133891167
216	0.3133305283
217	0.3133033415
218	0.3132632769
219	0.3132215218
220	0.3131870625
221	0.3131645979
222	0.3131104542
223	0.3130731635
224	0.3130449812
225	0.3130108756
226	0.3129875575
227	0.3129555602
228	0.3129099186
229	0.3128746828
230	0.3128362231
231	0.3128091091
232	0.3127833788
233	0.3127387862
234	0.3127141395
235	0.3126806354
236	0.3126394005
237	0.3126053966
238	0.3125740283
239	0.31253121
240	0.3124950005
241	0.3124774859
242	0.3124459644
243	0.3124083322
244	0.3123745123
245	0.3123345965
246	0.3123003578
247	0.3122631542
248	0.3122464307
249	0.312220008
250	0.3121849474
251	0.3121520174
252	0.3121053067
253	0.3120903182
254	0.3120568302
255	0.3120184145
256	0.3119852129
257	0.3119532059
258	0.3119199563
259	0.3118941481
260	0.3118625346
261	0.3118359781
262	0.3118131891
263	0.3117865821
264	0.3117452406
265	0.3117275131
266	0.311700596
267	0.3116735429
268	0.3116376376
269	0.3116072997
270	0.3115746945
271	0.3115361855
272	0.3115132437
273	0.3114866722
274	0.3114547935
275	0.3114206795
276	0.3114003981
277	0.3113710542
278	0.3113385898
279	0.3113050297
280	0.3112667986
281	0.3112283564
282	0.3111975698
283	0.311172441
284	0.3111270635
285	0.3110833306
286	0.3110612378
287	0.3110252379
288	0.3109924274
289	0.3109729427
290	0.3109471893
291	0.3109108353
292	0.310886032
293	0.3108643675
294	0.3108327136
295	0.3107920611
296	0.3107487896
297	0.310712826
298	0.3106902397
299	0.3106561261
300	0.3106315353
301	0.3106022404
302	0.3105748054
303	0.3105380977
304	0.3105141958
305	0.3104814636
306	0.310457056
307	0.310425695
308	0.3103830183
309	0.3103608662
310	0.3103283698
311	0.3102895905
312	0.3102551331
313	0.3102257815
314	0.3101854928
315	0.3101707107
316	0.3101417799
317	0.3101027216
318	0.3100773319
319	0.3100475416
320	0.3100234139
321	0.3099935607
322	0.3099705499
323	0.3099378846
324	0.3099076501
325	0.3098695139
326	0.3098440062
327	0.3098178572
328	0.3097836104
329	0.3097537367
330	0.3097232676
331	0.3096801072
332	0.309650158
333	0.3096163632
334	0.3095835144
335	0.3095487757
336	0.3095041974
337	0.309470509
338	0.309445001
339	0.3094112621
340	0.309370139
341	0.3093394583
342	0.3093201682
343	0.3092925748
344	0.3092654523
345	0.3092418411
346	0.3092150001
347	0.3091782976
348	0.3091547838
349	0.3091348366
350	0.3090888235
351	0.3090575958
352	0.3090287229
353	0.3090091872
354	0.3089661614
355	0.3089464596
356	0.3089236629
357	0.3088993802
358	0.3088590078
359	0.3088230061
360	0.3087952831
361	0.3087725649
362	0.3087350972
363	0.3086980601
364	0.3086742052
365	0.3086456065
366	0.3086182232
367	0.3085839879
368	0.3085569099
369	0.3085195702
370	0.3084835301
371	0.3084496031
372	0.3084174015
373	0.3083950288
374	0.3083763752
375	0.3083403363
376	0.3083204029
377	0.3082800138
378	0.3082495564
379	0.3082276566
380	0.3081962296
381	0.3081618101
382	0.3081286706
383	0.3080993435
384	0.3080679853
385	0.3080324963
386	0.3080009837
387	0.3079719012
388	0.3079400588
389	0.3079197573
390	0.3078865196
391	0.3078509223
392	0.307814698
393	0.3077807989
394	0.307746166
395	0.3077127212
396	0.3076765946
397	0.3076554005
398	0.3076275963
399	0.3076010537
400	0.3075710723
401	0.3075416478
402	0.3075083304
403	0.3074878392
404	0.3074534651
405	0.3074242539
406	0.3073880845
407	0.3073672376
408	0.3073492095
409	0.3073332223
410	0.3073026192
411	0.3072775235
412	0.3072501154
413	0.3072059175
