iter	Passed	Remaining
0	132	132473
1	145	72508
2	156	52154
3	167	41825
4	178	35582
5	190	31580
6	201	28520
7	212	26370
8	224	24679
9	234	23175
10	245	22072
11	256	21108
12	269	20427
13	282	19919
14	296	19498
15	311	19150
16	324	18749
17	337	18395
18	349	18046
19	361	17735
20	372	17378
21	384	17072
22	395	16793
23	406	16517
24	417	16265
25	426	15995
26	438	15814
27	451	15660
28	462	15481
29	473	15302
30	484	15136
31	493	14941
32	504	14780
33	514	14620
34	525	14493
35	535	14341
36	546	14229
37	557	14118
38	568	14002
39	578	13877
40	588	13766
41	597	13630
42	608	13550
43	621	13493
44	631	13395
45	641	13312
46	652	13225
47	662	13132
48	670	13019
49	680	12925
50	689	12829
51	699	12755
52	709	12673
53	718	12592
54	729	12533
55	739	12467
56	749	12403
57	760	12353
58	770	12294
59	779	12211
60	789	12149
61	799	12102
62	810	12047
63	821	12010
64	831	11960
65	840	11891
66	850	11844
67	861	11802
68	871	11755
69	881	11713
70	891	11666
71	900	11611
72	910	11562
73	919	11511
74	929	11458
75	938	11407
76	948	11374
77	959	11347
78	970	11319
79	981	11283
80	991	11244
81	1000	11203
82	1011	11177
83	1022	11145
84	1033	11123
85	1045	11107
86	1054	11062
87	1065	11037
88	1074	11002
89	1085	10977
90	1095	10942
91	1105	10907
92	1115	10875
93	1124	10840
94	1134	10812
95	1144	10781
96	1155	10755
97	1165	10726
98	1175	10694
99	1184	10663
100	1195	10636
101	1205	10609
102	1215	10586
103	1225	10559
104	1235	10528
105	1245	10501
106	1255	10478
107	1265	10450
108	1275	10422
109	1286	10409
110	1295	10374
111	1304	10341
112	1313	10313
113	1324	10296
114	1333	10264
115	1343	10240
116	1353	10218
117	1364	10199
118	1375	10186
119	1386	10168
120	1396	10144
121	1405	10117
122	1415	10094
123	1425	10068
124	1435	10045
125	1444	10016
126	1452	9987
127	1462	9962
128	1471	9938
129	1482	9920
130	1491	9891
131	1500	9865
132	1510	9847
133	1519	9822
134	1530	9804
135	1539	9783
136	1550	9765
137	1560	9744
138	1571	9731
139	1581	9714
140	1591	9696
141	1600	9673
142	1610	9652
143	1621	9639
144	1632	9624
145	1642	9609
146	1652	9590
147	1662	9571
148	1672	9552
149	1682	9533
150	1692	9514
151	1702	9497
152	1713	9488
153	1723	9468
154	1733	9450
155	1742	9429
156	1752	9412
157	1762	9393
158	1772	9376
159	1783	9361
160	1793	9344
161	1803	9327
162	1812	9307
163	1823	9293
164	1833	9276
165	1843	9261
166	1853	9246
167	1864	9231
168	1874	9219
169	1885	9205
170	1894	9186
171	1905	9170
172	1915	9155
173	1925	9140
174	1935	9125
175	1945	9108
176	1956	9095
177	1966	9080
178	1977	9069
179	1987	9055
180	1996	9035
181	2006	9019
182	2018	9010
183	2029	8998
184	2039	8984
185	2049	8969
186	2059	8953
187	2069	8937
188	2079	8921
189	2089	8905
190	2098	8886
191	2108	8873
192	2122	8873
193	2132	8859
194	2142	8843
195	2152	8830
196	2162	8816
197	2173	8803
198	2183	8789
199	2194	8776
200	2204	8762
201	2214	8748
202	2224	8731
203	2235	8720
204	2245	8706
205	2255	8692
206	2265	8677
207	2277	8670
208	2287	8659
209	2298	8645
210	2307	8629
211	2317	8615
212	2327	8599
213	2337	8585
214	2347	8569
215	2357	8556
216	2367	8543
217	2377	8527
218	2386	8512
219	2396	8498
220	2406	8483
221	2416	8469
222	2426	8455
223	2438	8446
224	2448	8432
225	2457	8416
